Brand,Style,Country,Stars
New Touch,Cup,Japan,3.75
Just Way,Pack,Taiwan,1
Nissin,Cup,USA,2.25
Wei Lih,Pack,Taiwan,2.75
Ching's Secret,Pack,India,3.75
Samyang Foods,Pack,South Korea,4.75
Acecook,Cup,Japan,4
Ikeda Shoku,Tray,Japan,3.75
Ripe'n'Dry,Pack,Japan,0.25
KOKA,Pack,Singapore,2.5
Tao Kae Noi,Pack,Thailand,5
Yamachan,Pack,USA,5
Nongshim,Pack,South Korea,4.25
Nissin,Bowl,Japan,4.5
Nissin,Pack,Hong Kong,5
KOKA,Cup,Singapore,3.5
TRDP,Pack,India,3.75
Yamachan,Pack,USA,5
Binh Tay,Pack,Vietnam,4
Paldo,Pack,South Korea,4
Nissin,Cup,Hong Kong,4.25
Jackpot Teriyaki,Pack,USA,5
KOKA,Cup,Singapore,5
Yamachan,Pack,USA,4.75
Ching's Secret,Pack,India,4.25
Samyang Foods,Bowl,South Korea,4.25
Yum-Mie,Pack,Ghana,3.5
Nissin,Bowl,Japan,4.75
MyKuali,Bowl,Malaysia,5
KOKA,Pack,Singapore,4
Samyang Foods,Pack,South Korea,5
Nissin,Pack,Indonesia,4.5
Ottogi,Pack,South Korea,Unrated
Sichuan Guangyou,Bowl,China,4
New Touch,Bowl,Japan,3.75
KOKA,Pack,Singapore,5
Lipton,Box,USA,1.5
KOKA,Cup,Singapore,5
Acecook,Tray,Japan,1.5
Nissin,Cup,USA,5
Wei Lih,Pack,Taiwan,3.25
Nissin,Cup,Hong Kong,3.75
Nissin,Cup,USA,5
Nissin,Cup,Singapore,5
Lele,Pack,Ghana,3.5
Nissin,Cup,USA,5
Fujiwara,Pack,Japan,4
Nongshim,Pack,South Korea,5
Nissin,Bowl,Japan,4.75
Uni-President,Pack,China,4.25
Ottogi,Pack,South Korea,2
Maruchan,Bowl,Japan,4.5
Prima,Pack,Singapore,5
Uni-President,Pack,Vietnam,0
Samyang Foods,Bowl,South Korea,4.5
Sokensha,Pack,Japan,3.5
Nissin,Pack,Singapore,5
Nongshim,Pack,South Korea,4.5
Takamori,Pack,Japan,5
Nissin,Pack,Singapore,4.5
Nissin,Cup,Singapore,5
Guava Story,Tray,South Korea,1
Samurai Ramen,Pack,Japan,4
Ikeda Shoku,Bowl,Japan,4.5
Fujiwara,Pack,Japan,3.5
Uni-President,Bowl,Taiwan,5
Ogasawara,Pack,Japan,4.5
Pringles,Can,USA,3.5
Mom's Dry Noodle,Pack,Taiwan,5
Samyang Foods,Bowl,South Korea,5
MyKuali,Pack,Malaysia,5
Maggi,Pack,India,3.5
Samyang Foods,Pack,South Korea,3.75
Indomie,Pack,Indonesia,4
KOKA,Pack,Singapore,3.75
Acecook,Bowl,Japan,3.5
Nongshim,Pack,South Korea,3
Sichuan Guangyou,Bowl,China,0
Indomie,Pack,Nigeria,1.5
Happy Cook,Pack,Taiwan,4
The Ramen Rater Select,Box,Malaysia,5
KOKA,Cup,Singapore,5
Nissin,Pack,Germany,3.75
Nissin,Cup,Germany,3.75
Nissin,Pack,Germany,4.5
Nissin,Cup,Germany,3.75
Nissin,Pack,Germany,3.5
Nissin,Cup,Germany,3.75
Nissin,Pack,Hungary,3.75
Nissin,Cup,Germany,5
Nissin,Pack,Germany,3.5
Nissin,Cup,Germany,3
Nissin,Pack,Germany,3.75
Nissin,Cup,Germany,4.5
Nissin,Pack,Germany,3.5
Nissin,Cup,Germany,3
Nissin,Pack,Germany,4
Paldo,Bowl,South Korea,5
TTL,Pack,Taiwan,4.75
Samyang Foods,Cup,South Korea,3.75
Acecook,Bowl,Japan,4.25
E-Zee,Pack,Malaysia,4
Kiki Noodle,Pack,Taiwan,5
Kiki Noodle,Pack,Taiwan,5
Samyang Foods,Bowl,South Korea,4
Maruchan,Bowl,Japan,4.75
Ottogi,Pack,South Korea,4.25
Tokyo Noodle,Pack,Japan,2
GGE,Pack,Taiwan,3.5
Nissin,Cup,Hong Kong,5
Myojo,Pack,USA,3.75
KOKA,Cup,Singapore,3.5
Acecook,Cup,Japan,4.25
Paldo,Pack,South Korea,3.5
Sau Tao,Pack,Hong Kong,4
Nissin,Cup,China,3.75
Wang,Bowl,South Korea,2
Nissin,Pack,Indonesia,3.25
TTL,Bowl,Taiwan,5
Fujiwara,Pack,Japan,4.5
Daifuku,Bowl,USA,5
Nissin,Pack,Japan,3.5
Samyang Foods,Pack,South Korea,Unrated
KOKA,Pack,Singapore,3.5
KOKA,Pack,Singapore,4.25
KOKA,Cup,Singapore,5
KOKA,Bowl,Singapore,3.25
KOKA,Pack,Singapore,4.5
KOKA,Bowl,Singapore,5
KOKA,Pack,Singapore,5
KOKA,Pack,Singapore,4
KOKA,Pack,Singapore,5
KOKA,Cup,Singapore,3.5
KOKA,Pack,Singapore,3
KOKA,Cup,Singapore,5
KOKA,Pack,Singapore,4.25
KOKA,Bowl,Singapore,5
KOKA,Cup,Singapore,3.75
Nissin,Cup,Mexico,3.5
MyKuali,Box,Japan,5
Master Kong,Pack,China,4.5
Uni-President,Bowl,Taiwan,5
World O' Noodle,Pack,Indonesia,5
Nissin,Bowl,Japan,4.5
Kang Shi Fu,Pack,Hong Kong,4.75
Mum Ngon,Pack,Vietnam,3.5
Happy Cook,Pack,Taiwan,4.25
Nissin,Cup,Japan,3.75
Fashion Food,Bowl,Thailand,3.5
Dream Kitchen,Bowl,USA,3.75
MyKuali,Pack,Malaysia,5
New Touch,Cup,Japan,4
TTL,Bowl,Taiwan,5
Ajinatori,Pack,Japan,2.5
Dr. McDougall's,Cup,USA,0
Nissin,Cup,Hong Kong,5
Samyang Foods,Pack,South Korea,3.75
Ve Wong,Pack,Taiwan,3.5
Nissin,Cup,Mexico,3.25
Uni-President,Pack,Taiwan,5
Nissin,Cup,China,3.75
MyKuali,Box,Japan,5
Myojo,Tray,Japan,4.5
Super Bihun,Pack,Indonesia,3.75
Xiuhe,Bowl,China,4.25
Nissin,Bowl,Japan,5
Little Cook,Bowl,Taiwan,5
Nissin,Cup,Hong Kong,2.5
Shirakiku,Pack,USA,3.25
Mama Pat's,Pack,USA,3.75
Mama Pat's,Pack,USA,3.75
Mama Pat's,Pack,USA,3.5
Mama Pat's,Pack,USA,3.75
Just Way,Pack,Taiwan,4.5
Sichuan Guangyou,Pack,China,0.25
Nissin,Cup,Hong Kong,4
MyKuali,Pack,Singapore,5
Goku-Uma,Bowl,USA,4.75
Maggi,Pack,India,3.75
Sichuan Baijia,Bowl,China,5
Nissin,Cup,Singapore,5
Indomie,Pack,Indonesia,4
Liang Cheng Mai,Tray,China,1
Samyang Foods,Bowl,South Korea,4
Maggi,Pack,Fiji,3.25
Master Kong,Pack,China,4.25
Nissin,Cup,Hong Kong,3.75
Ripe'n'Dry,Pack,Japan,3
MyKuali,Bowl,Malaysia,5
Ottogi,Pack,South Korea,5
Nissin,Cup,Hong Kong,3.75
Gefen,Cup,USA,4
Hua Feng,Pack,China,4.25
Nissin,Bowl,Hong Kong,3.5
Maggi,Pack,Fiji,4
Uni-President,Bowl,Taiwan,4.75
Sichuan Guangyou,Pack,China,4.25
Nissin,Cup,USA,3.5
Nongshim,Cup,South Korea,0.5
Nissin,Cup,Hong Kong,4.75
Pulmuone,Pack,South Korea,3.75
Nissin,Cup,USA,2.5
Sau Tao,Pack,Hong Kong,4.5
MyKuali,Box,Malaysia,5
Nissin,Cup,Thailand,3.25
Uni-President,Bowl,Taiwan,5
World O' Noodle,Pack,Indonesia,4.5
Nissin,Pack,India,4.5
Liu Quan,Bowl,China,4
Daikoku,Cup,Japan,3.5
Samyang Foods,Pack,South Korea,4.5
Samyang Foods,Pack,South Korea,4.25
Samyang Foods,Pack,South Korea,3.75
Samyang Foods,Pack,South Korea,4
Samyang Foods,Pack,South Korea,5
Samyang Foods,Pack,South Korea,5
Samyang Foods,Pack,South Korea,4
Samyang Foods,Pack,South Korea,4
Chuan Wei Wang,Bowl,China,4
Nissin,Bowl,Hong Kong,5
Wai Wai,Pack,India,2
Daikoku,Cup,Japan,2
Sichuan Baijia,Bowl,China,4
Kamfen,Bowl,Hong Kong,5
Nongshim,Cup,South Korea,4
Marutai,Pack,Japan,4
Vifon,Bowl,Vietnam,5
Nissin,Cup,Japan,4
Uni-President,Pack,Taiwan,1
1 To 3 Noodles,Pack,India,4
Nissin,Cup,Hong Kong,4
Fantastic,Cup,Australia,3
Ripe'n'Dry,Pack,Japan,3
Nissin,Bowl,Hong Kong,3
Knorr,Pack,Pakistan,1
Sempio,Pack,South Korea,5
Nissin,Cup,Mexico,4
Nissin,Cup,Mexico,4
Nissin,Pack,Mexico,4
Nissin,Cup,Mexico,4
Nissin,Cup,Mexico,4
Nissin,Cup,Mexico,3
Nissin,Pack,Mexico,4
Nissin,Cup,Mexico,3
Nissin,Cup,Mexico,3
Nissin,Cup,Mexico,5
Nissin,Cup,Mexico,4
Nissin,Cup,Mexico,4
Nissin,Pack,Mexico,4
Nissin,Cup,Mexico,4
Ve Wong,Pack,Taiwan,4
Patanjali,Pack,India,5
Qin Zong,Pack,China,3
Nissin,Cup,USA,4
Nissin,Cup,Hong Kong,4
Pran,Pack,Bangladesh,4
Paldo,Pack,South Korea,5
Ogasawara,Pack,Japan,5
Sapporo Ichiban,Bowl,Japan,3
Sau Tao,Bowl,Hong Kong,5
Nissin,Cup,Japan,4
Nongshim,Bowl,South Korea,3.5
Happy Cook,Pack,Taiwan,5
MAMA,Bowl,Thailand,4
Nissin,Cup,Japan,5
Goku-Uma,Bowl,USA,3
Nissin,Cup,Hong Kong,4
Xiao Ban Mian,Pack,Taiwan,3.5
Xiao Ban Mian,Pack,Taiwan,5
Xiao Ban Mian,Pack,Taiwan,3.8
Pran,Pack,Bangladesh,4
Nissin,Cup,Hong Kong,4
Fantastic,Cup,Australia,4
Ottogi,Pack,Mexico,4
Nissin,Cup,Hong Kong,4
Ajinatori,Pack,Japan,4
Maggi,Pack,India,5
Maruchan,Pack,Mexico,3
Nissin,Tray,Japan,5
Suimin,Cup,Australia,3
Nissin,Pack,Hong Kong,4
Cintan,Pack,Malaysia,3
Nissin,Cup,USA,4
Chuan Wei Wang,Bowl,China,3
Suimin,Cup,Australia,3
Nissin,Cup,China,4
Sapporo Ichiban,Bowl,Japan,4
Nissin,Pack,Hong Kong,5
Sichuan Baijia,Pack,China,5
Samyang Foods,Pack,South Korea,4
Nissin,Pack,Hong Kong,5
Myojo,Bowl,Japan,4
Nissin,Cup,Hong Kong,4
Master Kong,Pack,China,0
Kamfen,Bowl,Hong Kong,4
Fantastic,Cup,Australia,3
Nissin,Cup,Hong Kong,4
Nissin,Pack,Japan,5
Samyang Foods,Pack,South Korea,5
Nissin,Cup,Hong Kong,4
Sichuan Baijia,Pack,China,4
Nissin,Bowl,Hong Kong,5
Nissin,Pack,Japan,5
Goku-Uma,Bowl,USA,3
Nissin,Cup,USA,3
JML,Pack,China,4
Suimin,Cup,Australia,4
Uni-President,Bowl,Taiwan,4
Nissin,Bowl,Hong Kong,4
Sichuan Baijia,Pack,China,5
Samyang Foods,Pack,South Korea,4
Wai Wai,Pack,India,4
Nissin,Pack,Hong Kong,5
Shirakiku,Pack,USA,2
Nissin,Cup,Thailand,4
Nissin,Cup,Japan,3
Unif Tung-I,Pack,Taiwan,1
Sichuan Baijia,Pack,China,4
Dream Kitchen,Cup,USA,5
Tablemark,Bowl,Japan,4
Uni-President,Pack,Taiwan,5
Farmer's Heart,Bowl,USA,3.75
Kamfen,Bowl,Hong Kong,4.3
Fuku,Pack,Hong Kong,2.3
Goku-Uma,Bowl,USA,3
Daikoku,Tray,Japan,5
Nissin,Cup,Thailand,3
Singa-Me,Cup,Australia,4
New Touch,Bowl,Japan,5
Ottogi,Pack,Mexico,4
Nissin,Pack,Hong Kong,4
Love Cook,Pack,Taiwan,4
Nongshim,Cup,USA,5
Nissin,Bowl,Japan,5
Dream Kitchen,Cup,USA,4
Nissin,Cup,Hong Kong,4
Kang Shi Fu,Pack,Hong Kong,4
Nissin,Cup,Hong Kong,4
Great Value,Cup,Canada,3
Fuku,Pack,Hong Kong,4
Wang,Bowl,South Korea,3
Nissin,Cup,USA,4
Asian Thai Foods,Pack,Nepal,1
Nissin,Cup,Japan,5
Maruchan,Bowl,Japan,4
Fashion Food,Bowl,Thailand,4
Paldo,Bowl,South Korea,5
Nissin,Cup,Hong Kong,4
Nissin,Bowl,Japan,5
Fantastic,Cup,Australia,4
Marutai,Pack,Japan,4
Kang Shi Fu,Pack,Hong Kong,4
Nissin,Bowl,Japan,5
Maruchan,Pack,USA,4
Nagatanien,Pack,Japan,3
Fuku,Bowl,Hong Kong,4
Wai Wai,Pack,India,4
KOKA,Pack,Singapore,4
Nyor Nyar,Pack,Malaysia,5
Nissin,Cup,Japan,5
Paldo,Pack,South Korea,5
Fantastic,Cup,Australia,1
Tseng Noodles,Pack,Taiwan,4
Nissin,Pack,Hong Kong,5
A-Sha Dry Noodle,Tray,Taiwan,3
Myojo,Pack,Singapore,5
Sapporo Ichiban,Bowl,Japan,4
Acecook,Pack,Vietnam,4
Paldo,Pack,South Korea,4
Nissin,Cup,Thailand,3
Morre,Pack,Pakistan,4
Nissin,Pack,Hong Kong,5
Roland,Pack,USA,0
Nissin,Cup,Hong Kong,3
Nissin,Bowl,Japan,5
Maruchan,Bowl,USA,4
Nissin,Cup,Brazil,4
Nongshim,Bowl,USA,4
Nissin,Cup,Hong Kong,4
Mr. Lee's Noodles,Cup,UK,2
Mr. Lee's Noodles,Cup,UK,5
Mr. Lee's Noodles,Cup,UK,3
Mr. Lee's Noodles,Cup,UK,3
Mr. Lee's Noodles,Cup,UK,5
Mr. Lee's Noodles,Cup,UK,3.3
Nissin,Bowl,Japan,5
Fuku,Pack,Hong Kong,4
Knorr,Pack,Pakistan,3
Nyor Nyar,Pack,Malaysia,5
Choumama,Pack,Taiwan,4
Myojo,Bowl,Japan,4.75
Nissin,Cup,Hong Kong,4
Singa-Me,Cup,Australia,2.5
Pulmuone,Pack,South Korea,5
Master Kong,Pack,China,4
